experiment,workload,policy,tlb_size,associativity,hit_rate_pct,amat,context_switches
EXP1,Sequential,LRU,64,4,0.0000,111.0000,0
EXP1,Sequential,FIFO,64,4,0.0000,111.0000,0
EXP1,Sequential,RANDOM,64,4,17.7860,91.4354,0
EXP1,Random,LRU,64,4,50.1295,55.8575,0
EXP1,Random,FIFO,64,4,50.1735,55.8091,0
EXP1,Random,RANDOM,64,4,50.1090,55.8801,0
EXP1,Looping,LRU,64,4,84.2305,18.3465,0
EXP1,Looping,FIFO,64,4,78.6230,24.5147,0
EXP1,Looping,RANDOM,64,4,78.6820,24.4498,0
EXP2,Direct-Mapped,LRU,64,1,0.0000,111.0000,0
EXP2,2-way,LRU,64,2,10.5260,99.4214,0
EXP2,4-way,LRU,64,4,26.3150,82.0535,0
EXP2,8-way,LRU,64,8,52.6280,53.1092,0
EXP2,Fully-Assoc,LRU,64,64,99.9905,1.0104,0
EXP3,No-Switch,LRU,64,4,80.0640,22.9296,0
EXP3,Switch-10000,LRU,64,4,79.6445,23.3911,19
EXP3,Switch-5000,LRU,64,4,79.2090,23.8701,39
EXP3,Switch-2000,LRU,64,4,77.9245,25.2831,99
EXP3,Switch-500,LRU,64,4,71.3875,32.4737,399
